Supplemental Table 3: Known and putative novel ncNATs and their partner genes. ,,,,,,,
# Note to gene_id prefixes:,,,,,,,
# ENSG* - Ensembl/GENCODE genes,,,,,,,
# NONH* - Noncode genes,,,,,,,
# MSTRG* - Novel genes,,,,,,,
# Other - RefSeq genes,,,,,,,
,gene_id,seqnames,start,end,strand,gene_name,partners
43,ENSG00000231789.2,chr1,9672426,9687555,-,PIK3CD-AS2,ENSG00000171608.16
44,ENSG00000223989.1,chr1,9848318,9850154,+,AL357140.1,ENSG00000178585.15
45,ENSG00000285701.1,chr1,9900614,9908034,+,AL357140.4,ENSG00000178585.15
46,ENSG00000228150.1,chr1,9942923,9949974,+,AL357140.2,ENSG00000162441.12
47,ENSG00000271989.1,chr1,10429881,10430677,-,AL139424.1,ENSG00000175279.22
48,ENSG00000271989.1,chr1,10429881,10430677,-,AL139424.1,ENSG00000251503.8
49,ENSG00000203469.2,chr1,10458555,10459338,+,AL354956.1,ENSG00000160049.12
50,ENSG00000287727.1,chr1,10612222,10616452,-,AL139423.2,ENSG00000142655.13
51,ENSG00000272078.1,chr1,10639241,10654333,+,AL139423.1,ENSG00000130940.15
52,ENSG00000226849.1,chr1,11068471,11073097,+,AL109811.1,ENSG00000171824.14
53,ENSG00000230337.1,chr1,11099675,11102100,+,EXOSC10-AS1,ENSG00000171824.14
54,ENSG00000225602.5,chr1,11143898,11149537,+,MTOR-AS1,ENSG00000198793.13
55,ENSG00000285833.1,chr1,11500803,11502016,-,AL590989.1,ENSG00000204624.8
56,ENSG00000259961.1,chr1,13513220,13516270,+,AL354712.1,ENSG00000162494.6
57,ENSG00000231606.2,chr1,14221887,14304445,-,AL357873.1,ENSG00000189337.17
58,ENSG00000234593.3,chr1,14338825,14419973,-,KAZN-AS1,ENSG00000189337.17
59,ENSG00000175147.13,chr1,15111815,15153618,-,TMEM51-AS1,ENSG00000189337.17
60,ENSG00000175147.13,chr1,15111815,15153618,-,TMEM51-AS1,ENSG00000171729.14
61,ENSG00000204464.7,chr1,15164344,15171317,-,C1orf195,ENSG00000171729.14
62,ENSG00000233485.1,chr1,15326680,15343876,-,FHAD1-AS1,ENSG00000142621.19
63,ENSG00000236045.1,chr1,15334166,15335464,-,AL031283.2,ENSG00000142621.19
64,ENSG00000272510.1,chr1,15565611,15565956,-,AL121992.3,ENSG00000116138.13
65,ENSG00000237301.1,chr1,15586136,15603626,-,AL121992.1,ENSG00000116138.13
66,ENSG00000237938.5,chr1,15720312,15736896,-,AL450998.2,ENSG00000162461.8
67,ENSG00000237938.5,chr1,15720312,15736896,-,AL450998.2,ENSG00000116786.13
68,ENSG00000224459.1,chr1,15740051,15749896,-,SLC25A34-AS1,ENSG00000162460.7
69,ENSG00000224459.1,chr1,15740051,15749896,-,SLC25A34-AS1,ENSG00000162461.8
70,ENSG00000179743.4,chr1,15834474,15848147,-,FLJ37453,ENSG00000065526.12
71,ENSG00000227959.1,chr1,16155211,16157329,+,AL451042.2,ENSG00000142627.13
72,ENSG00000282740.1,chr1,16739938,16750589,-,AL021920.3,ENSG00000058453.17
73,ENSG00000223643.6,chr1,16851257,16853129,-,BX284668.1,ENSG00000058453.17
74,ENSG00000238142.2,chr1,16887577,16889706,-,BX284668.4,ENSG00000058453.17
75,ENSG00000272426.1,chr1,16904339,16904776,-,BX284668.5,ENSG00000058453.17
76,ENSG00000286898.1,chr1,16976302,16977792,+,AL049569.2,ENSG00000117122.14
77,ENSG00000226526.1,chr1,16978926,17005091,+,AL049569.1,ENSG00000117122.14
78,ENSG00000226526.1,chr1,16978926,17005091,+,AL049569.1,ENSG00000159363.19
79,ENSG00000227751.1,chr1,17406760,17407382,+,RCC2-AS1,ENSG00000179051.14
80,ENSG00000230035.2,chr1,18166929,18179346,-,IGSF21-AS1,ENSG00000117154.12
81,ENSG00000230424.1,chr1,19210501,19240704,+,EMC1-AS1,ENSG00000127463.15
82,ENSG00000235185.1,chr1,19591802,19596832,-,AL031727.2,ENSG00000173436.15
83,ENSG00000235434.1,chr1,19814367,19819502,+,AL391883.1,ENSG00000178828.7
84,ENSG00000226664.1,chr1,20294211,20323187,-,AL020998.1,ENSG00000158816.15
85,ENSG00000117242.7,chr1,20642657,20652193,-,PINK1-AS,ENSG00000158828.8
86,ENSG00000236936.1,chr1,21266082,21267251,+,AL031005.1,ENSG00000117298.16
87,ENSG00000231105.2,chr1,21293290,21299874,+,ECE1-AS1,ENSG00000117298.16
88,ENSG00000228397.3,chr1,22023990,22026048,-,LINC01635,ENSG00000070831.17
89,ENSG00000285752.1,chr1,22028317,22052927,-,CDC42-AS1,ENSG00000070831.17
90,ENSG00000285873.1,chr1,22142850,22157401,+,AL445253.1,ENSG00000162552.15
91,ENSG00000240553.1,chr1,23020147,23088058,-,AL031428.1,ENSG00000004487.17
92,ENSG00000249087.7,chr1,23368997,23371839,+,ZNF436-AS1,ENSG00000125945.15
93,ENSG00000236810.6,chr1,23706901,23778296,-,ELOA-AS1,ENSG00000011007.12
94,ENSG00000232557.3,chr1,23907111,23907885,+,AL590609.2,ENSG00000188822.8
95,ENSG00000225315.2,chr1,24040835,24086799,+,AL591178.1,ENSG00000142661.19
96,ENSG00000230703.1,chr1,24066774,24083565,+,MYOM3-AS1,ENSG00000142661.19
97,ENSG00000232298.2,chr1,24307556,24321901,-,GRHL3-AS1,ENSG00000158055.16
98,ENSG00000286061.1,chr1,24496254,24535400,-,RCAN3AS,ENSG00000117602.13
99,ENSG00000264443.1,chr1,24538802,24556024,-,NCMAP-DT,ENSG00000117602.13
100,ENSG00000229162.1,chr1,24961345,24963097,+,RUNX3-AS1,ENSG00000020633.19
101,ENSG00000272432.1,chr1,25247837,25248321,+,AL031432.3,ENSG00000117616.18
102,ENSG00000233478.1,chr1,25644544,25659111,-,AL031280.1,ENSG00000117643.15
103,ENSG00000228172.5,chr1,25816749,25820797,-,AL020996.1,ENSG00000162430.17
104,ENSG00000228172.5,chr1,25816749,25820797,-,AL020996.1,ENSG00000117640.18
105,ENSG00000236528.1,chr1,25859613,25863420,+,AL033528.2,ENSG00000182749.6
106,ENSG00000225891.2,chr1,26462756,26468014,-,DHDDS-AS1,ENSG00000117682.17
107,ENSG00000260063.1,chr1,26692132,26694131,-,AL512408.1,ENSG00000117713.20
108,ENSG00000226698.1,chr1,26876133,26878245,+,AL034380.1,ENSG00000142751.15
109,ENSG00000286433.1,chr1,27827812,27831209,-,AL020997.4,ENSG00000117751.18
110,ENSG00000227050.1,chr1,27938875,27960193,-,AL512288.1,ENSG00000158156.9
111,ENSG00000227050.1,chr1,27938875,27960193,-,AL512288.1,ENSG00000130768.15
112,ENSG00000270605.1,chr1,28239509,28241453,-,AL353622.1,ENSG00000130770.18
113,ENSG00000197989.14,chr1,28578538,28583132,-,SNHG12,ENSG00000180098.9
114,ENSG00000233427.1,chr1,28870483,28877336,-,AL009181.1,ENSG00000116329.11
115,ENSG00000237934.1,chr1,29223933,29224816,+,AL590729.1,ENSG00000116353.16
116,ENSG00000186056.10,chr1,30718504,30726827,+,MATN1-AS1,ENSG00000162510.6
117,ENSG00000287510.1,chr1,30731693,30733427,+,AL137857.1,ENSG00000162511.8
118,ENSG00000229044.1,chr1,31333067,31346799,-,AL451070.1,ENSG00000121766.16
119,ENSG00000229167.2,chr1,31571585,31577898,-,AC114488.1,ENSG00000142910.16
120,ENSG00000235790.7,chr1,31644049,31660162,+,PEF1-AS1,ENSG00000084636.18
121,ENSG00000235790.7,chr1,31644049,31660162,+,PEF1-AS1,ENSG00000162517.13
122,ENSG00000264078.1,chr1,31644694,31649371,+,AC114488.2,ENSG00000162517.13
123,ENSG00000254545.1,chr1,31789130,31791322,+,AL354919.2,ENSG00000134668.12
124,ENSG00000228634.1,chr1,31933020,31933975,+,AL136115.1,ENSG00000184007.22
125,ENSG00000203325.3,chr1,32052291,32073474,-,AL445248.1,ENSG00000121774.18
126,ENSG00000203325.3,chr1,32052291,32073474,-,AL445248.1,ENSG00000121775.18
127,ENSG00000224066.1,chr1,32204769,32206814,-,AL049795.1,ENSG00000160050.16
128,ENSG00000224066.1,chr1,32204769,32206814,-,AL049795.1,ENSG00000160051.12
129,ENSG00000287691.1,chr1,32925454,32951638,+,AL031602.2,ENSG00000116514.17
130,ENSG00000236065.2,chr1,32987075,33032469,+,AL020995.1,ENSG00000004455.17
131,ENSG00000279179.1,chr1,33162851,33166298,+,AL662907.2,ENSG00000116525.14
132,ENSG00000225313.5,chr1,33307348,33349245,+,AL513327.1,ENSG00000184389.9
133,ENSG00000225313.5,chr1,33307348,33349245,+,AL513327.1,ENSG00000134686.18
134,ENSG00000233246.1,chr1,33350352,33363245,+,PHC2-AS1,ENSG00000134686.18
135,ENSG00000231163.6,chr1,33868953,33893726,+,CSMD2-AS1,ENSG00000121904.17
136,ENSG00000255811.1,chr1,34761426,34788097,-,AL121988.1,ENSG00000188910.8
137,ENSG00000255811.1,chr1,34761426,34788097,-,AL121988.1,ENSG00000189433.7
138,ENSG00000230163.1,chr1,34850694,34851555,+,AL122010.1,ENSG00000163866.9
139,ENSG00000227409.1,chr1,35358822,35366077,-,ZMYM4-AS1,ENSG00000146463.12
140,ENSG00000239636.1,chr1,35569813,35577729,-,TFAP2E-AS1,ENSG00000116819.8
141,ENSG00000232335.1,chr1,35739389,35743576,+,AL354864.1,ENSG00000092853.14
142,ENSG00000271914.1,chr1,35929720,35930115,-,AL139286.1,ENSG00000092847.13
143,ENSG00000271554.1,chr1,35992109,36013630,-,AL138787.2,ENSG00000126070.20
144,ENSG00000233728.1,chr1,37799720,37800879,-,AL929472.3,ENSG00000185090.15
145,ENSG00000230955.1,chr1,37860697,37861580,+,AL929472.2,ENSG00000204084.13
146,ENSG00000228436.3,chr1,38859912,38965038,+,AL139260.1,ENSG00000274944.4
147,ENSG00000228436.3,chr1,38859912,38965038,+,AL139260.1,ENSG00000214114.9
148,ENSG00000228436.3,chr1,38859912,38965038,+,AL139260.1,ENSG00000158315.11
149,ENSG00000226438.1,chr1,39249838,39257649,-,AL442071.1,ENSG00000127603.30
150,ENSG00000228060.3,chr1,39565052,39573860,+,PABPC4-AS1,ENSG00000090621.15
151,ENSG00000225903.1,chr1,39633416,39633903,+,AL035404.2,ENSG00000163909.8
152,ENSG00000285905.1,chr1,39779969,39781418,+,BMP8B-AS1,ENSG00000116985.12
153,ENSG00000236546.1,chr1,39897745,39899098,+,MYCL-AS1,ENSG00000116990.11
154,ENSG00000238287.1,chr1,40493157,40508661,-,AL603839.3,ENSG00000187815.10
155,ENSG00000227278.1,chr1,40514461,40515057,-,AL603839.1,ENSG00000164002.11
156,ENSG00000238186.1,chr1,40515754,40517174,-,AL603839.2,ENSG00000164002.11
157,ENSG00000287743.1,chr1,40659848,40667480,+,AL031289.2,ENSG00000117016.10
158,ENSG00000272145.1,chr1,40690380,40692066,-,NFYC-AS1,ENSG00000066136.20
159,ENSG00000281207.1,chr1,41014590,41043890,+,SLFNL1-AS1,ENSG00000010803.16
160,ENSG00000281207.1,chr1,41014590,41043890,+,SLFNL1-AS1,ENSG00000171790.15
161,ENSG00000287400.1,chr1,41241772,41338644,+,AC093151.7,ENSG00000010803.16
162,ENSG00000229901.1,chr1,41375004,41375669,-,FOXO6-AS1,ENSG00000204060.7
163,ENSG00000230881.1,chr1,41535443,41535868,+,AL445933.2,ENSG00000127124.16
164,ENSG00000285728.2,chr1,42658687,42682160,-,AC098484.4,ENSG00000171960.12
165,ENSG00000228452.1,chr1,42775813,42776790,-,AC098484.1,ENSG00000164008.16
166,ENSG00000228452.1,chr1,42775813,42776790,-,AC098484.1,ENSG00000283580.3
167,ENSG00000228192.8,chr1,42832522,42846422,-,AL512353.1,ENSG00000164010.15
168,ENSG00000287113.1,chr1,43348288,43348844,-,AL139289.2,ENSG00000117400.18
169,ENSG00000229431.1,chr1,43385113,43389155,+,MED8-AS1,ENSG00000159479.17
170,ENSG00000229372.1,chr1,43447776,43448644,-,SZT2-AS1,ENSG00000198198.17
171,ENSG00000229348.1,chr1,43453927,43456995,+,HYI-AS1,ENSG00000178922.18
172,ENSG00000236200.6,chr1,43685123,43708138,-,KDM4A-AS1,ENSG00000126091.21
173,ENSG00000236200.6,chr1,43685123,43708138,-,KDM4A-AS1,ENSG00000066135.13
174,ENSG00000229444.1,chr1,43709392,43727343,-,ST3GAL3-AS1,ENSG00000126091.21
175,ENSG00000285649.1,chr1,43968351,43974821,-,AL357079.2,ENSG00000132768.14
176,ENSG00000285649.1,chr1,43968351,43974821,-,AL357079.2,ENSG00000117410.14
177,ENSG00000230615.7,chr1,44030437,44115913,+,AL139220.2,ENSG00000196517.13
178,ENSG00000225721.5,chr1,44759037,44775810,-,AL592166.1,ENSG00000142945.13
179,ENSG00000225721.5,chr1,44759037,44775810,-,AL592166.1,ENSG00000142937.12
180,ENSG00000281912.1,chr1,45303910,45305619,+,LINC01144,ENSG00000162415.7
181,ENSG00000226957.1,chr1,46046818,46048368,+,AL358075.1,ENSG00000117461.15
182,ENSG00000269956.2,chr1,46538611,46570255,+,MKNK1-AS1,ENSG00000282881.2
183,ENSG00000269956.2,chr1,46538611,46570255,+,MKNK1-AS1,ENSG00000162456.10
184,ENSG00000269956.2,chr1,46538611,46570255,+,MKNK1-AS1,ENSG00000079277.22
185,ENSG00000228237.5,chr1,46674036,46692098,+,EFCAB14-AS1,ENSG00000159658.15
186,ENSG00000225506.2,chr1,47096653,47179271,-,CYP4A22-AS1,ENSG00000162365.12
187,ENSG00000225506.2,chr1,47096653,47179271,-,CYP4A22-AS1,ENSG00000186160.5
188,ENSG00000226252.1,chr1,47225797,47230750,+,AL135960.1,ENSG00000162367.11
189,ENSG00000225028.1,chr1,47818066,47820237,+,AC096541.1,ENSG00000269113.4
190,ENSG00000272491.1,chr1,48227888,48229561,-,AL109659.2,ENSG00000117834.13
191,ENSG00000287661.1,chr1,48552991,48558106,+,AL391844.1,ENSG00000186094.17
192,ENSG00000286597.1,chr1,48926021,48936734,+,AL645507.1,ENSG00000186094.17
193,ENSG00000229846.2,chr1,49025595,49187585,+,AC099788.1,ENSG00000186094.17
194,ENSG00000230114.1,chr1,49257411,49269285,+,AGBL4-AS1,ENSG00000186094.17
195,ENSG00000237337.1,chr1,50174306,50175868,-,ELAVL4-AS1,ENSG00000162374.18
196,ENSG00000225767.1,chr1,50461469,50471150,+,FAF1-AS1,ENSG00000185104.20
197,ENSG00000236434.2,chr1,51264916,51266074,-,AL162430.2,ENSG00000123091.5
198,ENSG00000261664.5,chr1,51329654,51335324,+,TTC39A-AS1,ENSG00000085831.16
199,ENSG00000227070.1,chr1,51518309,51561629,+,EPS15-AS1,ENSG00000085832.17
200,ENSG00000266993.3,chr1,51793934,51799154,+,AL050343.2,ENSG00000078618.22
201,ENSG00000272175.1,chr1,51801028,51801307,+,AL050343.3,ENSG00000078618.22
202,ENSG00000223390.1,chr1,52033391,52044279,+,AL445685.1,ENSG00000117862.13
203,ENSG00000223390.1,chr1,52033391,52044279,+,AL445685.1,ENSG00000198841.4
204,ENSG00000228369.2,chr1,52050918,52052683,+,TXNDC12-AS1,ENSG00000117862.13
205,ENSG00000272100.1,chr1,52353487,52353877,+,AL513218.1,ENSG00000154222.15
206,ENSG00000287078.1,chr1,52365443,52367865,+,AL513218.2,ENSG00000154222.15
207,ENSG00000242391.2,chr1,52881216,52881730,-,AC099677.3,ENSG00000203995.10
208,ENSG00000232993.1,chr1,53069938,53085502,-,AL445183.1,ENSG00000174348.14
209,ENSG00000235563.1,chr1,53114576,53118609,+,AL445183.2,ENSG00000162383.13
210,ENSG00000236723.2,chr1,53209783,53213775,-,AL606760.2,ENSG00000157184.7
211,ENSG00000226754.2,chr1,53238550,53246482,+,AL606760.1,ENSG00000157193.18
212,ENSG00000234578.1,chr1,53267935,53268601,+,AL355483.3,ENSG00000157193.18
213,ENSG00000228838.1,chr1,53288024,53289706,+,AL355483.1,ENSG00000157193.18
214,ENSG00000232762.1,chr1,53304536,53307462,+,AL355483.2,ENSG00000157193.18
215,ENSG00000225675.2,chr1,53328233,53336509,+,LINC01771,ENSG00000157193.18
216,ENSG00000198711.5,chr1,54236440,54239063,+,SSBP3-AS1,ENSG00000157216.16
217,ENSG00000225632.1,chr1,54285405,54287371,+,AL161644.1,ENSG00000157216.16
218,ENSG00000230728.1,chr1,54621477,54628438,-,AL590093.1,ENSG00000162390.18
219,ENSG00000237453.1,chr1,54792885,54794905,+,AC096536.1,ENSG00000006555.11
220,ENSG00000287724.1,chr1,54874672,54883664,+,AC096536.3,ENSG00000116133.13
221,ENSG00000242396.1,chr1,54886875,54888001,+,AC096536.2,ENSG00000116133.13
222,ENSG00000233271.1,chr1,54980950,54992274,-,AL590440.1,ENSG00000143001.5
223,ENSG00000223956.3,chr1,56414935,56417137,+,LINC01767,ENSG00000284686.1
224,ENSG00000236341.1,chr1,56963886,56996757,+,AL161740.1,ENSG00000173406.16
225,ENSG00000236341.1,chr1,56963886,56996757,+,AL161740.1,ENSG00000021852.13
226,ENSG00000227935.1,chr1,57386576,57387450,+,AL390243.1,ENSG00000173406.16
227,ENSG00000226759.8,chr1,57860532,57880905,+,DAB1-AS1,ENSG00000173406.16
228,ENSG00000235038.1,chr1,58060139,58080274,+,AL445193.2,ENSG00000173406.16
229,ENSG00000286918.1,chr1,58546168,58563897,+,AL035411.3,ENSG00000173406.16
230,ENSG00000286918.1,chr1,58546168,58563897,+,AL035411.3,ENSG00000162600.12
231,ENSG00000226883.1,chr1,59754747,59789182,-,AL035416.1,ENSG00000172456.18
232,ENSG00000231252.3,chr1,60659631,60868009,-,AC099792.1,ENSG00000162599.17
233,ENSG00000237928.6,chr1,60912675,61056885,-,NFIA-AS2,ENSG00000162599.17
234,ENSG00000237853.6,chr1,61248945,61253510,-,NFIA-AS1,ENSG00000162599.17
235,ENSG00000278967.1,chr1,62607766,62609584,+,AL138847.2,ENSG00000116641.18
236,ENSG00000230798.5,chr1,63320884,63324441,-,FOXD3-AS1,ENSG00000187140.6
237,ENSG00000286429.1,chr1,63487957,63508204,+,BX004807.1,ENSG00000142856.17
238,ENSG00000116652.6,chr1,63547082,63550636,+,DLEU2L,ENSG00000142856.17
239,ENSG00000223949.8,chr1,64094379,64171342,-,ROR1-AS1,ENSG00000185483.12
240,ENSG00000229294.1,chr1,65279456,65306521,-,AL139294.1,ENSG00000116675.16
241,ENSG00000227466.1,chr1,66042500,66050718,-,PDE4B-AS1,ENSG00000184588.18
242,ENSG00000248458.2,chr1,66665864,66677027,-,AL139147.1,ENSG00000118473.22
243,ENSG00000232284.7,chr1,67832303,68202987,+,GNG12-AS1,ENSG00000116729.14
244,ENSG00000232284.7,chr1,67832303,68202987,+,GNG12-AS1,ENSG00000172380.6
245,ENSG00000232284.7,chr1,67832303,68202987,+,GNG12-AS1,ENSG00000162595.7
246,ENSG00000233589.1,chr1,68479129,68483539,+,AL138789.1,ENSG00000024526.17
247,ENSG00000234264.1,chr1,68496676,68538627,+,DEPDC1-AS1,ENSG00000024526.17
248,ENSG00000287283.1,chr1,69706950,69710274,-,AL117353.1,ENSG00000033122.21
249,ENSG00000237919.5,chr1,70013982,70031222,-,LRRC7-AS1,ENSG00000033122.21
250,ENSG00000228988.1,chr1,70218589,70221023,-,AL353771.1,ENSG00000116754.13
251,ENSG00000235782.1,chr1,70947379,70951493,+,AL031429.1,ENSG00000050628.20
252,ENSG00000235079.1,chr1,71048855,71067184,+,ZRANB2-AS1,ENSG00000132485.14
253,ENSG00000229956.11,chr1,71081324,71489976,+,ZRANB2-AS2,ENSG00000172260.15
254,ENSG00000231985.1,chr1,71570956,71573558,+,AL354949.1,ENSG00000172260.15
255,ENSG00000237324.3,chr1,74341579,74378802,-,AC093158.1,ENSG00000259030.8
256,ENSG00000237324.3,chr1,74341579,74378802,-,AC093158.1,ENSG00000116783.15
257,ENSG00000233894.1,chr1,74468195,74469543,+,AC105271.1,ENSG00000162621.7
258,ENSG00000234497.5,chr1,74577430,74626098,+,ERICH3-AS1,ENSG00000178965.14
259,ENSG00000224127.1,chr1,75127830,75133058,-,AC099786.1,ENSG00000162624.14
260,ENSG00000224149.1,chr1,75129974,75132576,-,AC099786.2,ENSG00000162624.14
261,ENSG00000225605.3,chr1,75926454,76019356,+,AC092813.1,ENSG00000154007.7
262,ENSG00000233099.1,chr1,77346046,77349585,-,AC095030.1,ENSG00000154027.19
263,ENSG00000287647.1,chr1,77431314,77437604,-,AC093575.1,ENSG00000154027.19
264,ENSG00000235927.4,chr1,77881348,77889539,-,NEXN-AS1,ENSG00000162614.19
265,ENSG00000273338.1,chr1,78004346,78004554,-,AC103591.3,ENSG00000137960.6
266,ENSG00000273338.1,chr1,78004346,78004554,-,AC103591.3,ENSG00000162616.9
267,ENSG00000234953.2,chr1,81513880,81557702,-,AL138799.3,ENSG00000117114.20
268,ENSG00000236676.1,chr1,81585941,81625713,-,AC117944.1,ENSG00000117114.20
269,ENSG00000285851.1,chr1,84498350,84556688,-,AL359762.3,ENSG00000117133.11
270,ENSG00000285851.1,chr1,84498350,84556688,-,AL359762.3,ENSG00000122432.18
271,ENSG00000284882.1,chr1,84574129,84583620,+,AL359762.1,ENSG00000117151.13
272,ENSG00000223653.6,chr1,85276388,85448124,+,AL078459.1,ENSG00000142867.14
273,ENSG00000223653.6,chr1,85276388,85448124,+,AL078459.1,ENSG00000153904.21
274,ENSG00000273264.1,chr1,85467295,85467660,+,AL360219.1,ENSG00000153904.21
275,ENSG00000236915.2,chr1,86571181,86696311,-,CLCA4-AS1,ENSG00000016602.9
276,ENSG00000237505.8,chr1,87620803,88685204,-,PKN2-AS1,ENSG00000065243.20
277,ENSG00000286802.1,chr1,89128432,89144695,+,AC104459.1,ENSG00000162645.13
278,ENSG00000286802.1,chr1,89128432,89144695,+,AC104459.1,ENSG00000213512.3
279,ENSG00000284734.1,chr1,89198714,89207040,+,AC099063.4,ENSG00000162654.9
280,ENSG00000237568.1,chr1,89260582,89269754,+,AC099063.1,ENSG00000154451.14
281,ENSG00000286548.1,chr1,89427533,89525472,-,AL596214.1,ENSG00000197147.15
282,ENSG00000231999.7,chr1,89581291,89632916,-,LRRC8C-DT,ENSG00000197147.15
283,ENSG00000223745.8,chr1,93262186,93346025,-,CCDC18-AS1,ENSG00000122483.17
284,ENSG00000223745.8,chr1,93262186,93346025,-,CCDC18-AS1,ENSG00000117505.13
285,ENSG00000224093.5,chr1,93592199,93605573,+,BCAR3-AS1,ENSG00000137936.18
286,ENSG00000226835.3,chr1,94247819,94411036,+,ARHGAP29-AS1,ENSG00000137962.13
287,ENSG00000230427.1,chr1,95061596,95067545,+,ALG14-AS1,ENSG00000172339.10
288,ENSG00000226026.6,chr1,95161676,95233982,-,AC092802.1,ENSG00000271092.5
289,ENSG00000226026.6,chr1,95161676,95233982,-,AC092802.1,ENSG00000152078.10
290,ENSG00000232878.3,chr1,97095923,97322955,+,DPYD-AS1,ENSG00000188641.14
291,ENSG00000235777.1,chr1,97796921,97798066,+,DPYD-AS2,ENSG00000188641.14
292,ENSG00000232825.3,chr1,99004276,99244794,+,AL445433.2,ENSG00000117598.13
293,ENSG00000228084.1,chr1,99968383,99969864,-,AC118553.1,ENSG00000117620.15
294,ENSG00000241073.1,chr1,100057990,100084471,-,AC093019.2,ENSG00000283761.1
295,ENSG00000241073.1,chr1,100057990,100084471,-,AC093019.2,ENSG00000156875.14
296,ENSG00000285530.1,chr1,100220488,100253414,+,AL445928.2,ENSG00000137992.15
297,ENSG00000228086.1,chr1,100462399,100485997,-,AL589990.1,ENSG00000079335.20
