Supplemental Table 9: Dysregulated ncNATs in cancer cohorts (1 marks dysreguated genes in a tissue).,,,,,,,,,
,Liver,Lung,Thyroid Gland,Prostate,Breast,Brain,Bladder,Kidney,Colon
ENSG00000179743.4,0,0,0,0,0,0,0,1,0
ENSG00000179818.14,0,0,0,0,0,0,0,0,0
ENSG00000179840.5,0,0,0,0,0,0,1,0,0
ENSG00000180139.11,0,0,0,0,0,0,1,0,0
ENSG00000180458.2,1,0,1,1,1,0,0,0,0
ENSG00000180525.13,0,0,0,0,0,1,1,1,1
ENSG00000180539.8,0,1,0,0,1,1,0,1,0
ENSG00000180769.10,1,0,0,0,1,0,1,1,0
ENSG00000180846.8,0,0,0,0,0,0,0,0,0
ENSG00000181123.8,0,1,0,0,0,0,0,0,0
ENSG00000181171.5,0,0,0,0,0,0,0,0,0
ENSG00000181800.6,0,0,1,0,1,0,0,0,0
ENSG00000182057.5,0,1,0,1,0,0,0,0,0
ENSG00000182352.8,0,0,0,0,1,0,0,0,0
ENSG00000182376.2,0,0,1,0,0,0,0,0,0
ENSG00000182586.9,0,0,0,0,0,0,0,0,0
ENSG00000182648.13,0,0,0,1,0,0,0,0,0
ENSG00000182873.5,0,0,0,0,0,0,0,0,0
ENSG00000182912.6,1,0,0,0,1,0,1,0,0
ENSG00000183154.1,1,1,0,0,1,0,0,1,0
ENSG00000183242.12,0,1,0,0,1,0,0,1,0
ENSG00000183308.6,0,0,0,0,0,0,0,1,0
ENSG00000183535.9,0,0,0,0,0,0,0,1,0
ENSG00000183784.7,0,1,1,0,0,0,0,1,0
ENSG00000183822.3,0,0,0,0,0,0,0,0,0
ENSG00000184068.2,0,0,1,1,0,0,0,0,0
ENSG00000184224.3,0,0,0,0,0,0,0,0,0
ENSG00000184385.2,0,1,0,0,1,0,0,0,0
ENSG00000184441.4,0,0,0,0,0,0,0,1,0
ENSG00000184608.9,0,0,1,0,0,0,0,1,0
ENSG00000184809.13,1,1,0,1,0,0,0,0,1
ENSG00000185065.6,0,0,0,0,0,0,1,1,0
ENSG00000185837.3,0,0,0,0,0,0,1,1,0
ENSG00000186019.11,1,1,0,0,1,0,1,0,0
ENSG00000186056.10,0,0,0,0,0,1,0,1,0
ENSG00000186594.14,0,0,1,1,1,0,1,0,1
ENSG00000186615.11,0,1,0,0,0,0,0,0,0
ENSG00000187185.4,0,0,1,0,0,0,0,0,0
ENSG00000188280.11,0,0,1,0,0,0,0,0,0
ENSG00000188365.3,0,0,0,0,0,1,0,0,0
ENSG00000188525.4,0,0,0,0,1,0,1,0,0
ENSG00000188693.8,0,0,0,0,0,0,0,0,0
ENSG00000189223.15,0,0,0,0,0,0,0,1,0
ENSG00000189316.3,0,0,0,1,0,0,0,0,1
ENSG00000196167.10,1,0,0,0,1,0,0,1,1
ENSG00000196243.5,0,1,0,0,0,0,0,0,0
ENSG00000196295.12,0,0,0,0,0,0,0,0,0
ENSG00000196366.3,0,0,0,1,0,0,1,0,0
ENSG00000196566.2,0,0,0,0,0,0,0,0,0
ENSG00000196810.5,0,0,0,0,0,0,0,0,0
ENSG00000196893.3,0,0,0,0,0,0,0,0,0
ENSG00000196951.11,0,0,0,0,0,1,0,0,0
ENSG00000197085.11,1,1,0,0,0,0,0,1,1
ENSG00000197099.8,0,1,0,0,1,0,0,1,0
ENSG00000197291.9,1,1,1,0,1,0,0,1,0
ENSG00000197301.7,1,1,1,0,0,1,0,1,1
ENSG00000197308.9,0,0,0,1,1,0,1,1,0
ENSG00000197536.11,1,0,0,0,0,0,0,0,0
ENSG00000197585.10,0,0,1,0,0,0,0,0,0
ENSG00000197665.7,0,0,0,0,1,0,0,0,0
ENSG00000197734.10,0,0,0,0,1,0,0,0,0
ENSG00000197813.6,0,0,1,0,0,0,0,0,0
ENSG00000197815.4,0,0,0,0,0,1,1,0,0
ENSG00000197934.8,0,1,0,0,0,0,0,1,0
ENSG00000197989.14,0,0,0,0,0,0,0,1,0
ENSG00000198358.4,0,0,0,0,0,0,0,0,0
ENSG00000198491.3,0,0,0,1,0,0,0,0,0
ENSG00000198496.12,0,0,0,0,0,0,0,0,0
ENSG00000198711.5,0,0,0,0,0,0,0,0,0
ENSG00000203258.3,0,0,0,0,0,0,1,1,0
ENSG00000203280.4,1,0,1,0,0,1,0,0,0
ENSG00000203288.4,1,1,0,0,1,0,0,0,0
ENSG00000203307.2,1,0,0,0,0,0,0,0,0
ENSG00000203321.2,0,0,0,0,0,0,0,0,0
ENSG00000203325.3,0,0,0,0,0,0,0,0,0
ENSG00000203335.5,0,0,0,0,0,0,0,0,0
ENSG00000203362.2,0,0,0,0,0,0,0,0,0
ENSG00000203392.3,0,0,0,0,0,1,0,0,0
ENSG00000203441.2,0,0,0,0,0,0,0,0,0
ENSG00000203446.2,1,1,0,0,1,1,1,1,1
ENSG00000203469.2,0,0,0,0,0,0,0,0,0
ENSG00000203472.3,0,0,0,0,0,0,0,0,0
ENSG00000203497.2,0,0,0,0,0,1,1,1,1
ENSG00000203506.5,0,0,0,0,0,0,0,0,0
ENSG00000203520.3,0,0,0,0,0,0,0,0,0
ENSG00000203588.3,0,0,0,0,0,0,0,0,0
ENSG00000203643.3,0,0,0,0,0,0,0,0,0
ENSG00000203706.8,0,0,0,1,0,1,0,0,1
ENSG00000203739.4,0,0,0,0,0,0,0,0,1
ENSG00000203804.5,1,0,0,0,0,1,1,0,0
ENSG00000203808.12,1,0,0,0,0,1,0,0,1
ENSG00000203809.7,0,0,0,0,1,1,0,0,0
ENSG00000203865.11,0,0,0,0,0,0,0,1,0
ENSG00000203876.10,0,0,1,0,1,0,0,1,0
ENSG00000203897.4,0,0,0,0,0,0,0,0,0
ENSG00000203900.2,1,0,1,0,0,0,0,1,0
ENSG00000203930.12,1,0,1,0,1,0,1,0,0
ENSG00000203987.3,0,0,0,0,0,0,0,0,0
ENSG00000203993.6,0,0,0,0,0,0,0,0,0
ENSG00000204044.6,0,0,0,0,1,0,1,1,1
ENSG00000204049.1,0,0,0,0,0,0,0,0,0
ENSG00000204055.5,0,0,0,0,0,0,0,0,1
ENSG00000204261.9,0,0,0,0,0,1,0,0,0
ENSG00000204380.4,0,1,0,0,1,0,0,0,0
ENSG00000204393.7,0,0,0,0,0,0,0,0,0
ENSG00000204464.7,0,0,0,0,0,0,0,0,0
ENSG00000204581.3,0,0,0,0,0,0,0,0,0
ENSG00000204584.1,0,1,0,0,0,1,0,0,0
ENSG00000204620.3,0,0,0,0,0,0,0,0,0
ENSG00000204685.7,0,0,0,0,0,0,0,0,0
ENSG00000204706.14,1,0,0,0,0,1,0,0,1
ENSG00000204758.8,0,0,0,0,0,1,0,1,0
ENSG00000204832.10,1,1,1,1,1,0,1,0,1
ENSG00000204850.4,1,1,0,0,0,0,1,1,0
ENSG00000204860.5,0,0,0,0,0,0,1,1,0
ENSG00000204934.10,0,0,1,0,0,0,0,1,0
ENSG00000204949.9,1,0,0,0,0,0,0,0,0
ENSG00000204971.3,1,0,0,0,0,0,0,0,0
ENSG00000205018.2,0,1,0,0,1,0,1,0,0
ENSG00000205231.1,0,1,0,0,1,0,0,0,0
ENSG00000205414.1,1,1,0,0,0,0,1,0,0
ENSG00000205424.2,0,0,0,0,1,1,0,0,0
ENSG00000205488.9,0,1,0,0,0,0,1,1,0
ENSG00000205500.8,0,0,0,0,1,1,0,0,0
ENSG00000205537.2,0,0,0,0,0,0,0,1,0
ENSG00000205559.5,0,0,0,0,0,0,0,0,0
ENSG00000205562.3,0,0,0,0,1,0,0,1,0
ENSG00000205622.11,1,0,1,1,0,0,0,0,1
ENSG00000205682.2,0,0,0,0,1,0,0,0,0
ENSG00000205696.4,0,0,0,0,1,0,0,0,0
ENSG00000205790.1,0,0,0,0,0,0,0,0,0
ENSG00000205853.12,0,1,1,0,0,0,0,0,0
ENSG00000205861.13,0,0,0,1,0,0,0,0,0
ENSG00000205885.7,0,0,0,0,0,0,0,1,0
ENSG00000205890.3,0,0,0,0,0,0,0,0,0
ENSG00000205930.10,0,0,0,0,0,0,0,0,0
ENSG00000205971.3,0,0,0,0,0,0,0,0,0
ENSG00000206249.3,0,0,0,0,0,0,0,0,0
ENSG00000206417.8,0,0,0,0,0,0,0,0,0
ENSG00000206552.4,0,0,0,0,0,0,0,0,0
ENSG00000206573.9,0,0,0,0,0,0,0,0,0
ENSG00000207955.5,0,0,0,0,0,0,0,0,0
ENSG00000213742.7,0,0,0,0,0,0,0,0,0
ENSG00000213904.9,0,0,0,0,1,0,0,0,1
ENSG00000213981.8,0,1,0,0,0,0,0,0,1
ENSG00000213994.3,0,0,0,0,0,0,0,0,0
ENSG00000214106.9,0,0,0,0,0,0,0,0,0
ENSG00000214184.3,0,1,0,0,0,0,1,0,1
ENSG00000214248.2,0,1,0,1,0,0,0,0,0
ENSG00000214353.8,0,1,1,0,1,0,0,0,1
ENSG00000214401.4,0,0,0,0,0,0,0,1,0
ENSG00000214559.3,0,0,0,0,0,0,0,0,0
ENSG00000214650.3,0,0,0,0,0,0,0,0,0
ENSG00000214708.4,0,1,0,0,0,0,0,1,0
ENSG00000214772.2,0,1,1,1,0,0,1,0,0
ENSG00000214783.9,0,0,0,0,0,0,0,0,0
ENSG00000214922.9,0,0,0,1,0,0,0,0,0
ENSG00000214999.3,0,0,0,0,0,0,0,0,0
ENSG00000215014.5,0,0,0,0,0,0,0,0,0
ENSG00000215022.7,0,0,0,0,0,0,0,0,0
ENSG00000215023.2,0,0,0,0,0,0,0,0,0
ENSG00000215039.7,0,0,0,0,0,0,0,0,0
ENSG00000215067.10,0,0,0,0,0,0,0,0,0
ENSG00000215068.8,0,0,0,0,0,0,0,1,0
ENSG00000215196.5,0,1,1,1,0,0,0,0,0
ENSG00000215256.4,1,0,0,0,0,0,0,1,0
ENSG00000215424.10,1,1,0,0,0,0,1,0,0
ENSG00000215692.2,0,0,0,0,0,0,0,0,0
ENSG00000216863.10,0,1,0,0,0,0,1,1,1
ENSG00000216895.9,0,0,0,0,0,0,0,1,0
ENSG00000217702.3,0,0,0,0,0,0,0,0,0
ENSG00000218018.3,0,0,0,1,1,0,1,0,1
ENSG00000218109.5,0,0,0,0,0,0,0,0,0
ENSG00000218416.4,0,1,1,0,0,0,0,1,1
ENSG00000218537.1,0,0,0,0,0,0,0,0,0
ENSG00000219410.6,0,0,0,0,0,0,0,0,0
ENSG00000219665.8,0,0,0,0,0,1,0,0,0
ENSG00000220575.8,0,0,0,0,0,0,0,0,0
ENSG00000220891.1,0,1,0,0,1,0,0,0,0
ENSG00000220925.2,0,0,0,0,0,0,0,0,0
ENSG00000221817.10,0,0,0,0,0,0,0,0,0
ENSG00000221819.6,0,0,0,0,0,0,0,0,0
ENSG00000221883.4,0,0,0,0,0,0,0,0,0
ENSG00000222000.7,0,1,0,0,0,1,0,0,0
ENSG00000222001.2,0,0,0,0,0,0,0,0,0
ENSG00000222007.6,0,0,0,0,0,0,0,0,0
ENSG00000222012.1,0,0,0,0,1,0,1,0,0
ENSG00000222017.1,1,0,0,0,1,0,0,0,0
ENSG00000222020.3,0,0,0,0,0,0,0,0,0
ENSG00000222035.4,0,0,0,1,0,0,1,0,0
ENSG00000222043.2,0,0,0,0,0,0,0,0,0
ENSG00000222044.1,0,0,0,0,0,0,0,0,0
ENSG00000222047.9,0,0,1,1,0,1,0,0,1
ENSG00000223343.1,0,0,0,0,0,0,0,0,0
ENSG00000223351.5,0,0,0,0,0,0,0,0,0
ENSG00000223358.5,0,0,0,0,0,0,0,0,0
ENSG00000223374.1,0,0,0,0,0,0,0,0,0
ENSG00000223390.1,0,0,0,0,0,0,1,0,0
ENSG00000223392.1,0,1,0,0,1,0,0,0,1
ENSG00000223393.2,1,0,0,0,0,0,0,0,0
ENSG00000223436.1,0,0,0,0,0,1,0,0,0
ENSG00000223440.1,0,0,0,0,0,0,0,0,0
ENSG00000223442.1,0,0,0,0,0,1,0,0,0
ENSG00000223461.1,0,0,0,0,0,0,0,0,0
ENSG00000223478.1,1,0,0,0,0,0,0,0,0
ENSG00000223482.8,0,0,0,0,0,1,0,0,0
ENSG00000223487.1,0,0,0,0,0,0,0,0,0
ENSG00000223492.1,0,0,0,0,0,0,0,0,0
ENSG00000223502.1,0,0,0,1,0,0,1,0,0
ENSG00000223522.2,0,0,0,0,0,0,0,0,0
ENSG00000223528.7,0,0,0,0,0,0,0,0,0
ENSG00000223534.1,0,0,0,0,0,0,0,0,0
ENSG00000223537.3,0,0,0,0,0,0,0,0,0
ENSG00000223542.1,0,0,0,0,0,0,1,0,1
ENSG00000223548.1,0,0,0,0,0,0,0,0,0
ENSG00000223552.1,0,0,0,0,1,0,0,1,1
ENSG00000223563.1,0,0,1,0,0,0,0,0,0
ENSG00000223576.2,0,0,0,0,0,0,0,0,0
ENSG00000223598.1,0,0,0,0,0,0,0,0,0
ENSG00000223642.7,0,0,0,0,0,0,1,0,0
ENSG00000223643.6,1,0,0,0,0,0,0,0,0
ENSG00000223646.2,1,0,0,0,0,0,0,0,0
ENSG00000223652.2,0,1,0,0,0,0,0,1,0
ENSG00000223653.6,0,0,0,0,0,0,0,0,0
ENSG00000223662.1,0,1,0,0,1,0,0,0,0
ENSG00000223669.1,1,0,0,0,1,0,0,1,0
ENSG00000223685.6,0,0,0,0,0,0,0,1,0
ENSG00000223697.3,0,0,0,0,0,0,0,0,0
ENSG00000223701.3,0,0,0,0,0,0,0,0,0
ENSG00000223725.6,0,0,0,0,0,0,0,1,0
ENSG00000223732.2,0,0,0,0,0,0,0,0,0
ENSG00000223745.8,0,0,0,0,0,0,0,0,0
ENSG00000223754.1,0,0,0,0,0,0,0,0,0
ENSG00000223770.5,0,0,0,0,1,0,0,0,0
ENSG00000223774.5,0,1,0,0,0,0,0,0,1
ENSG00000223776.5,1,0,0,1,0,0,1,0,0
ENSG00000223791.1,0,0,0,0,0,0,0,0,0
ENSG00000223797.6,0,0,0,0,0,0,0,1,0
ENSG00000223799.1,1,0,0,0,1,0,0,1,0
ENSG00000223800.1,0,0,0,0,0,0,0,0,0
ENSG00000223813.3,0,1,1,0,0,0,1,0,0
ENSG00000223815.2,0,0,0,0,0,0,0,0,0
ENSG00000223817.1,0,0,0,0,0,0,0,0,0
ENSG00000223831.1,1,0,0,0,1,0,0,0,0
ENSG00000223874.2,0,0,1,0,0,0,0,0,0
ENSG00000223882.1,0,1,0,0,0,0,0,0,0
ENSG00000223884.7,0,0,0,0,0,0,0,0,0
ENSG00000223901.2,0,0,0,0,0,0,0,0,0
ENSG00000223910.1,0,0,0,0,0,0,0,0,0
ENSG00000223911.1,0,0,0,0,0,0,0,0,0
ENSG00000223923.2,0,0,0,1,1,0,0,1,0
ENSG00000223930.7,0,1,1,0,0,0,0,0,0
ENSG00000223946.1,0,0,0,0,0,0,0,0,0
ENSG00000223947.1,1,0,0,0,0,0,0,0,0
ENSG00000223949.8,0,1,0,0,1,0,0,1,0
ENSG00000223956.3,1,0,0,0,0,0,0,0,0
ENSG00000223960.7,0,0,0,0,0,1,0,0,0
ENSG00000223969.6,1,0,0,0,0,1,1,0,0
ENSG00000223989.1,0,0,0,0,0,0,0,0,0
ENSG00000223991.1,1,0,0,0,0,0,0,0,0
ENSG00000224020.1,1,0,1,0,0,0,1,1,0
ENSG00000224023.10,0,0,0,0,0,0,0,1,0
ENSG00000224031.1,0,0,0,0,0,0,0,0,0
ENSG00000224032.7,0,0,0,0,0,0,0,0,0
ENSG00000224043.8,0,0,0,0,0,0,0,0,0
ENSG00000224046.2,0,0,0,0,0,0,0,1,0
ENSG00000224057.1,1,0,0,0,0,0,0,1,0
ENSG00000224063.6,0,0,1,0,0,0,0,0,0
ENSG00000224066.1,0,0,0,0,0,0,0,0,0
ENSG00000224076.5,0,0,0,0,0,0,0,0,0
ENSG00000224078.15,0,0,0,0,0,0,0,1,0
ENSG00000224079.1,0,0,0,0,0,0,1,0,0
ENSG00000224086.6,0,0,0,0,1,0,1,0,0
ENSG00000224087.1,0,0,0,0,0,0,0,0,0
ENSG00000224090.1,0,1,0,0,0,0,0,1,0
ENSG00000224093.5,0,1,0,0,0,0,0,1,0
ENSG00000224095.1,0,0,0,0,0,0,0,0,0
ENSG00000224101.1,0,0,0,0,0,0,0,0,0
ENSG00000224116.7,0,0,0,0,0,0,0,0,1
ENSG00000224122.2,0,0,0,0,0,0,0,0,0
ENSG00000224127.1,0,0,0,0,0,0,0,0,0
ENSG00000224138.1,0,0,0,0,0,0,0,0,0
ENSG00000224149.1,0,0,0,0,0,0,1,0,0
ENSG00000224152.1,0,0,0,0,0,0,0,0,0
ENSG00000224165.6,0,0,0,0,0,0,0,1,0
ENSG00000224186.8,0,1,1,0,1,1,0,1,0
ENSG00000224189.8,1,0,1,0,0,1,0,1,1
ENSG00000224192.2,0,0,0,0,0,0,0,0,0
ENSG00000224195.1,0,0,0,0,0,0,0,0,0
ENSG00000224204.1,0,0,0,0,1,0,0,0,0
ENSG00000224215.1,0,1,0,0,0,1,0,0,0
ENSG00000224218.1,0,0,0,0,0,0,0,0,0
ENSG00000224220.1,1,1,0,0,1,0,1,0,1
ENSG00000224228.2,0,1,0,0,0,0,0,0,0
ENSG00000224238.2,1,0,1,0,1,1,0,0,0
ENSG00000224251.6,1,0,0,0,0,1,0,0,0
ENSG00000224269.1,0,0,0,1,1,0,1,0,0
ENSG00000224272.2,1,0,0,0,0,1,0,1,0
ENSG00000224276.1,0,0,0,0,0,0,0,0,0
ENSG00000224277.5,1,0,0,0,0,0,0,0,0
ENSG00000224281.5,0,0,0,0,0,0,0,1,0
ENSG00000224318.6,0,0,0,0,1,0,1,1,1
ENSG00000224328.1,1,0,0,0,0,0,0,0,0
ENSG00000224347.6,0,0,0,0,0,0,0,0,0
ENSG00000224349.2,1,0,0,0,0,0,1,0,0
ENSG00000224358.1,1,1,0,0,0,0,0,0,0
ENSG00000224359.2,0,0,0,0,0,0,0,0,0
ENSG00000224361.1,0,0,0,0,1,0,0,0,0
ENSG00000224387.1,0,0,0,0,0,0,0,0,0
ENSG00000224394.1,0,0,0,0,0,0,0,0,0
ENSG00000224407.1,0,0,0,0,0,0,0,0,0
ENSG00000224418.1,0,0,1,0,0,0,0,0,0
ENSG00000224424.8,1,0,0,0,0,1,0,0,0
ENSG00000224459.1,0,0,0,0,0,0,1,0,0
ENSG00000224467.1,0,0,0,0,0,0,0,0,0
ENSG00000224468.3,0,0,0,0,0,0,0,0,0
ENSG00000224490.5,0,0,0,0,0,0,0,0,0
ENSG00000224505.2,0,0,0,0,1,0,0,0,0
ENSG00000224509.2,0,0,0,0,0,1,0,1,0
ENSG00000224513.2,0,0,0,0,0,0,0,0,0
ENSG00000224516.5,0,0,0,0,0,0,0,0,0
ENSG00000224517.6,1,0,0,0,0,0,0,0,0
ENSG00000224521.2,0,0,0,0,0,0,0,1,0
ENSG00000224525.2,1,1,0,0,1,0,0,0,0
ENSG00000224533.4,0,0,0,0,0,0,0,0,0
ENSG00000224536.2,0,0,0,0,0,1,0,1,0
ENSG00000224541.1,0,0,0,0,0,0,0,0,0
ENSG00000224563.1,0,0,0,0,0,0,0,0,0
ENSG00000224574.1,1,0,0,0,0,0,0,1,0
ENSG00000224595.1,0,0,0,0,0,0,0,0,0
ENSG00000224614.2,0,0,0,1,0,1,0,0,0
ENSG00000224643.5,0,0,0,0,0,0,0,0,0
ENSG00000224644.1,0,0,0,0,1,0,0,0,0
ENSG00000224645.1,0,0,0,0,0,0,0,0,0
ENSG00000224658.1,0,0,0,0,0,0,1,0,0
ENSG00000224660.2,0,0,0,0,0,0,0,0,0
ENSG00000224661.1,0,0,0,0,0,0,0,0,0
ENSG00000224666.3,0,0,0,0,1,0,0,1,0
ENSG00000224671.2,0,0,0,0,0,0,0,0,0
ENSG00000224691.1,0,0,0,0,0,0,0,0,0
ENSG00000224699.9,0,0,0,0,0,0,0,0,0
ENSG00000224700.2,0,0,0,0,0,0,0,0,0
ENSG00000224702.1,0,0,0,0,0,0,0,0,0
ENSG00000224713.4,1,1,0,0,0,0,1,1,1
ENSG00000224717.1,0,1,0,0,1,0,0,1,0
ENSG00000224721.1,0,1,0,0,0,0,0,0,1
ENSG00000224729.6,0,0,0,0,0,0,0,0,0
ENSG00000224730.1,0,0,0,0,0,0,0,0,0
ENSG00000224731.1,0,0,0,0,0,0,0,0,0
ENSG00000224733.1,0,0,0,0,0,0,0,0,0
ENSG00000224738.1,0,0,0,0,0,1,0,0,0
ENSG00000224743.7,0,1,1,0,0,0,0,0,0
ENSG00000224746.2,0,1,0,1,0,0,0,0,1
ENSG00000224764.1,0,1,0,0,0,1,0,0,0
ENSG00000224789.1,0,0,0,0,0,0,1,0,1
ENSG00000224790.3,0,0,0,0,0,0,0,0,0
ENSG00000224795.3,0,0,0,0,0,1,0,0,0
ENSG00000224799.1,0,0,0,0,0,0,0,0,0
ENSG00000224808.1,0,0,0,0,0,0,0,0,0
ENSG00000224812.3,1,0,0,0,0,0,1,1,1
ENSG00000224814.1,0,0,0,0,0,0,0,0,0
ENSG00000224821.5,0,0,0,0,0,0,0,0,1
ENSG00000224825.2,0,0,0,0,0,1,1,0,0
ENSG00000224846.3,0,0,0,0,0,0,0,1,0
ENSG00000224848.2,0,0,0,1,0,1,0,0,0
ENSG00000224855.5,0,0,0,0,0,0,0,0,0
ENSG00000224870.7,0,0,0,0,0,0,0,0,0
ENSG00000224875.2,0,1,0,0,1,0,1,1,0
ENSG00000224879.1,0,0,0,0,0,0,0,0,1
ENSG00000224883.1,0,0,0,0,0,0,0,0,0
ENSG00000224884.1,1,1,0,1,0,0,1,0,0
ENSG00000224888.4,0,0,1,0,1,0,0,0,1
ENSG00000224893.7,0,0,0,0,1,0,0,0,0
ENSG00000224897.8,0,0,0,0,0,0,0,1,1
ENSG00000224901.1,0,0,0,0,0,0,0,0,0
ENSG00000224903.2,0,0,0,1,0,1,0,0,0
ENSG00000224905.7,0,1,0,0,0,0,0,1,0
ENSG00000224919.1,0,0,0,0,0,0,0,0,0
ENSG00000224958.6,1,1,1,1,1,0,1,1,1
ENSG00000224969.1,0,0,0,0,0,0,0,0,0
ENSG00000224970.2,0,0,0,0,0,0,0,0,0
ENSG00000224973.6,0,0,0,0,0,0,0,0,0
ENSG00000224985.1,1,0,0,0,0,0,0,0,0
ENSG00000225000.1,0,0,0,0,0,0,0,0,0
ENSG00000225028.1,0,0,0,0,0,0,0,0,0
ENSG00000225032.5,1,0,0,0,0,0,0,0,0
ENSG00000225037.1,0,0,0,0,0,0,0,0,0
ENSG00000225057.2,0,0,0,0,0,0,0,0,0
ENSG00000225062.1,0,0,1,0,0,0,0,0,1
ENSG00000225063.1,0,0,0,0,0,0,0,0,0
ENSG00000225075.1,0,0,0,0,0,0,0,1,0
ENSG00000225077.3,0,1,0,0,1,0,1,0,0
ENSG00000225083.2,0,1,0,0,0,0,1,0,0
ENSG00000225084.1,0,0,0,0,0,0,0,0,0
ENSG00000225106.1,0,0,0,0,0,0,0,0,0
ENSG00000225112.1,0,0,0,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0,0,0,0
ENSG00000225138.8,0,0,0,0,0,0,0,0,0
ENSG00000225140.1,0,0,0,0,0,1,0,0,1
ENSG00000225144.2,0,0,0,0,0,0,0,0,0
ENSG00000225146.1,0,0,0,0,0,0,0,0,0
ENSG00000225174.2,0,0,0,0,0,1,0,0,0
ENSG00000225177.6,1,0,0,0,0,1,1,0,0
ENSG00000225187.1,0,0,0,0,0,0,0,0,0
ENSG00000225194.3,1,1,1,1,0,0,1,0,1
ENSG00000225205.5,0,1,0,0,1,1,0,1,0
ENSG00000225214.1,0,0,0,0,0,0,0,0,0
ENSG00000225216.6,0,0,0,0,0,0,0,0,0
ENSG00000225230.1,0,0,0,0,0,0,0,0,0
ENSG00000225234.1,1,0,1,0,0,0,0,0,0
ENSG00000225235.1,0,0,0,0,0,0,0,0,0
ENSG00000225243.5,0,0,0,1,0,0,0,0,0
ENSG00000225263.1,0,0,0,0,0,0,0,0,0
ENSG00000225265.2,0,0,0,0,0,0,0,1,0
