Supplemental Table 5: ncNATs tissue association.,,,
gene_id,gene_name,tissue,type
ENSG00000254862.5,LGR4-AS1,Adipose Tissue_Normal,enhanced
ENSG00000255520.1,AC090589.2,Adipose Tissue_Normal,enhanced
ENSG00000259407.1,AC021739.2,Adipose Tissue_Normal,enhanced
ENSG00000263331.1,AC008551.1,Adipose Tissue_Normal,enhanced
ENSG00000263787.1,SKAP1-AS1,Adipose Tissue_Normal,enhanced
ENSG00000264666.1,AC020558.1,Adipose Tissue_Normal,enhanced
ENSG00000264707.1,L3MBTL4-AS1,Adipose Tissue_Normal,enhanced
ENSG00000266919.3,hsa-mir-423,Adipose Tissue_Normal,enhanced
ENSG00000267028.1,TCF4-AS1,Adipose Tissue_Normal,enhanced
ENSG00000272115.1,AC233992.3,Adipose Tissue_Normal,enhanced
ENSG00000273363.1,AL353801.3,Adipose Tissue_Normal,enhanced
ENSG00000274021.1,AC024909.1,Adipose Tissue_Normal,enhanced
ENSG00000275719.1,AC008622.2,Adipose Tissue_Normal,enhanced
ENSG00000277879.1,AL391988.1,Adipose Tissue_Normal,enhanced
ENSG00000278177.1,AL354811.1,Adipose Tissue_Normal,enhanced
ENSG00000280103.1,AC007792.1,Adipose Tissue_Normal,enhanced
ENSG00000286599.1,AC110611.1,Adipose Tissue_Normal,enhanced
ENSG00000286864.1,AC012076.1,Adipose Tissue_Normal,enhanced
ENSG00000287647.1,AC093575.1,Adipose Tissue_Normal,enhanced
LOC102723758,NA,Adipose Tissue_Normal,enhanced
LOC105371483,NA,Adipose Tissue_Normal,enhanced
LOC105372884,NA,Adipose Tissue_Normal,enhanced
LOC105377778,NA,Adipose Tissue_Normal,enhanced
LOC105379375,NA,Adipose Tissue_Normal,enhanced
LOC107984946,NA,Adipose Tissue_Normal,enhanced
LOC124900970,NA,Adipose Tissue_Normal,enhanced
LOC124902638,NA,Adipose Tissue_Normal,enhanced
LOC124903511,NA,Adipose Tissue_Normal,enhanced
LOC124905132,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr1.263,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr1.27,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr10.34,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr10.45,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr12.31,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr2.243,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr2.250,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr2.274,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr4.51,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr5.27,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr6.173,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chr8.32,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chrX.68,NA,Adipose Tissue_Normal,enhanced
MSTRG.SL.chrX.92,NA,Adipose Tissue_Normal,enhanced
NONHSAG009764.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG014959.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG017611.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG024970.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG028937.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG043207.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG056347.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG058485.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG060418.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG078227.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG078977.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG082883.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG082884.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG083193.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG084932.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG094425.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG096951.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG097040.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG099360.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG101969.2,NA,Adipose Tissue_Normal,enhanced
NONHSAG103944.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG104892.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG106383.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG106614.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG107910.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG109148.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG110458.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG111554.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG111825.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG112082.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG114538.1,NA,Adipose Tissue_Normal,enhanced
NONHSAG114768.1,NA,Adipose Tissue_Normal,enhanced
ENSG00000254551.1,AP000873.2,Adrenal Gland_Normal,specific
ENSG00000285220.1,AC015908.7,Adrenal Gland_Normal,specific
LOC105369377,NA,Adrenal Gland_Normal,specific
LOC124904892,NA,Adrenal Gland_Normal,specific
MSTRG.SL.chr1.319,NA,Adrenal Gland_Normal,specific
MSTRG.SL.chr4.41,NA,Adrenal Gland_Normal,specific
MSTRG.SL.chr5.154,NA,Adrenal Gland_Normal,specific
MSTRG.SL.chr8.86,NA,Adrenal Gland_Normal,specific
ENSG00000224361.1,AC011239.1,Adrenal Gland_Normal,group_enriched
ENSG00000226235.1,LEMD1-AS1,Adrenal Gland_Normal,group_enriched
ENSG00000232406.7,AL121895.1,Adrenal Gland_Normal,group_enriched
ENSG00000257596.1,SCAT2,Adrenal Gland_Normal,group_enriched
ENSG00000259385.1,AC066612.2,Adrenal Gland_Normal,group_enriched
ENSG00000265096.2,C1QTNF1-AS1,Adrenal Gland_Normal,group_enriched
ENSG00000286887.1,AL355881.1,Adrenal Gland_Normal,group_enriched
LOC105376270,NA,Adrenal Gland_Normal,group_enriched
LOC124904877,NA,Adrenal Gland_Normal,group_enriched
MSTRG.SL.chr2.156,NA,Adrenal Gland_Normal,group_enriched
MSTRG.SL.chr22.88,NA,Adrenal Gland_Normal,group_enriched
NONHSAG058458.1,NA,Adrenal Gland_Normal,group_enriched
ENSG00000177993.3,ZNRF3-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000184068.2,SREBF2-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000214708.4,AC116407.1,Adrenal Gland_Normal,group_enhanced
ENSG00000223548.1,ACSL6-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000225083.2,GRTP1-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000225746.13,MEG8,Adrenal Gland_Normal,group_enhanced
ENSG00000226800.5,CACTIN-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000228203.7,GRASLND,Adrenal Gland_Normal,group_enhanced
ENSG00000229327.1,AL391839.1,Adrenal Gland_Normal,group_enhanced
ENSG00000229953.1,AL590666.2,Adrenal Gland_Normal,group_enhanced
ENSG00000230185.5,C9orf147,Adrenal Gland_Normal,group_enhanced
ENSG00000230257.5,NFE4,Adrenal Gland_Normal,group_enhanced
ENSG00000230615.7,AL139220.2,Adrenal Gland_Normal,group_enhanced
ENSG00000232725.1,U52111.1,Adrenal Gland_Normal,group_enhanced
ENSG00000233334.3,FAM53B-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000233485.1,FHAD1-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000233581.1,AC069155.1,Adrenal Gland_Normal,group_enhanced
ENSG00000236045.1,AL031283.2,Adrenal Gland_Normal,group_enhanced
ENSG00000236591.1,UST-AS2,Adrenal Gland_Normal,group_enhanced
ENSG00000237017.1,AC245052.4,Adrenal Gland_Normal,group_enhanced
ENSG00000237380.7,HOXD-AS2,Adrenal Gland_Normal,group_enhanced
ENSG00000237836.6,PHKA2-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000247372.2,AC008897.2,Adrenal Gland_Normal,group_enhanced
ENSG00000248429.5,FAM198B-AS1,Adrenal Gland_Normal,group_enhanced
ENSG00000249753.2,AC084357.2,Adrenal Gland_Normal,group_enhanced
ENSG00000250282.1,AC002401.2,Adrenal Gland_Normal,group_enhanced
ENSG00000253356.1,AC084024.3,Adrenal Gland_Normal,group_enhanced
ENSG00000255173.1,AP003068.3,Adrenal Gland_Normal,group_enhanced
ENSG00000255478.1,AP000944.1,Adrenal Gland_Normal,group_enhanced
ENSG00000256339.1,AC007655.1,Adrenal Gland_Normal,group_enhanced
ENSG00000256564.1,AC007552.2,Adrenal Gland_Normal,group_enhanced
ENSG00000257817.2,AC026765.3,Adrenal Gland_Normal,group_enhanced
ENSG00000258399.7,AL117190.1,Adrenal Gland_Normal,group_enhanced
ENSG00000259353.1,AC090515.4,Adrenal Gland_Normal,group_enhanced
ENSG00000259961.1,AL354712.1,Adrenal Gland_Normal,group_enhanced
ENSG00000260487.1,AC116348.1,Adrenal Gland_Normal,group_enhanced
ENSG00000261332.1,AC116348.2,Adrenal Gland_Normal,group_enhanced
ENSG00000261346.1,AC116348.3,Adrenal Gland_Normal,group_enhanced
ENSG00000262528.2,AL022341.2,Adrenal Gland_Normal,group_enhanced
